"longitude","latitude","yield_kg_ha","kg_N_ha","kg_P_ha","kg_K_ha"
36.418506,-6.194601,2890,0,30,0
36.418506,-6.194601,1200,15,0,0
36.418506,-6.194601,1350,15,7.5,0
36.418506,-6.194601,1570,15,15,0
36.418506,-6.194601,1830,30,0,0
36.418506,-6.194601,4040,60,30,0
36.418506,-6.194601,3370,30,15,0
36.418506,-6.194601,1490,60,7.5,0
36.418506,-6.194601,850,0,15,0
36.418506,-6.194601,1450,60,0,0
36.418506,-6.194601,3610,60,15,0
36.418506,-6.194601,1700,30,7.5,0
36.418506,-6.194601,1380,0,7.5,0
36.418506,-6.194601,3290,15,30,0
36.418506,-6.194601,3840,30,30,0
36.418506,-6.194601,1710,30,0,0
36.418506,-6.194601,1960,0,15,0
36.418506,-6.194601,3450,30,15,0
36.418506,-6.194601,4520,30,30,0
36.418506,-6.194601,1930,0,30,0
36.418506,-6.194601,1880,60,0,0
36.418506,-6.194601,1640,60,7.5,0
36.418506,-6.194601,1300,15,0,0
36.418506,-6.194601,1010,0,7.5,0
36.418506,-6.194601,2620,60,15,0
36.418506,-6.194601,2250,15,30,0
36.418506,-6.194601,2630,15,15,0
36.418506,-6.194601,1000,15,7.5,0
36.418506,-6.194601,3420,60,30,0
36.418506,-6.194601,1530,30,7.5,0
36.418506,-6.194601,2090,30,7.5,0
36.418506,-6.194601,1830,30,30,0
36.418506,-6.194601,1410,0,7.5,0
36.418506,-6.194601,3420,60,30,0
36.418506,-6.194601,1770,30,0,0
36.418506,-6.194601,2600,0,30,0
36.418506,-6.194601,1680,0,15,0
36.418506,-6.194601,1950,60,0,0
36.418506,-6.194601,1550,60,7.5,0
36.418506,-6.194601,1700,15,15,0
36.418506,-6.194601,2310,15,30,0
36.418506,-6.194601,2920,60,15,0
36.418506,-6.194601,1590,15,0,0
36.418506,-6.194601,2260,15,7.5,0
36.418506,-6.194601,3470,30,15,0
36.75,-6.283332,2470,0,15,0
36.75,-6.283332,1020,60,0,0
36.75,-6.283332,2040,30,15,0
36.75,-6.283332,1690,30,7.5,0
36.75,-6.283332,2010,15,30,0
36.75,-6.283332,2620,60,15,0
36.75,-6.283332,1890,0,7.5,0
36.75,-6.283332,1970,60,7.5,0
36.75,-6.283332,2130,60,30,0
36.75,-6.283332,880,30,0,0
36.75,-6.283332,1000,15,15,0
36.75,-6.283332,2160,30,30,0
36.75,-6.283332,1660,0,30,0
36.75,-6.283332,1080,15,7.5,0
36.75,-6.283332,1240,15,0,0
36.75,-6.283332,1460,0,7.5,0
36.75,-6.283332,2330,0,30,0
36.75,-6.283332,3020,30,30,0
36.75,-6.283332,3160,30,15,0
36.75,-6.283332,1660,60,0,0
36.75,-6.283332,2780,60,30,0
36.75,-6.283332,2840,60,7.5,0
36.75,-6.283332,1600,15,7.5,0
36.75,-6.283332,1680,15,0,0
36.75,-6.283332,1820,15,15,0
36.75,-6.283332,1700,15,30,0
36.75,-6.283332,1390,30,7.5,0
36.75,-6.283332,3360,60,15,0
36.75,-6.283332,1890,0,15,0
36.75,-6.283332,1170,30,0,0
36.75,-6.283332,2070,60,7.5,0
36.75,-6.283332,2680,60,30,0
36.75,-6.283332,2800,0,30,0
36.75,-6.283332,1380,15,0,0
36.75,-6.283332,2910,15,15,0
36.75,-6.283332,1790,15,7.5,0
36.75,-6.283332,1610,60,15,0
36.75,-6.283332,2030,30,0,0
36.75,-6.283332,1140,0,7.5,0
36.75,-6.283332,2530,15,30,0
36.75,-6.283332,1690,60,0,0
36.75,-6.283332,1570,30,7.5,0
36.75,-6.283332,2600,30,15,0
36.75,-6.283332,1430,0,15,0
36.75,-6.283332,3250,30,30,0
36.499973,-5.25022,2240,0,30,0
36.499973,-5.25022,2310,15,30,0
36.499973,-5.25022,1900,30,0,0
36.499973,-5.25022,3690,60,30,0
36.499973,-5.25022,2060,0,15,0
36.499973,-5.25022,1790,0,7.5,0
36.499973,-5.25022,1700,15,15,0
36.499973,-5.25022,3490,60,0,0
36.499973,-5.25022,2550,30,30,0
